venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,total,anio,mes,nombre_mes,dia_semana
33,2024-04-21,3,15,1,49.99,49.99,2024,4,April,Sunday
34,2024-03-08,9,6,5,59.99,299.95,2024,3,March,Friday
35,2024-01-28,5,17,5,34.99,174.95,2024,1,January,Sunday
36,2024-02-20,3,12,2,12.99,25.98,2024,2,February,Tuesday
37,2024-05-18,9,1,5,899.99,4499.95,2024,5,May,Saturday
38,2024-03-23,8,1,1,899.99,899.99,2024,3,March,Saturday
39,2024-04-02,5,8,1,89.99,89.99,2024,4,April,Tuesday
40,2024-03-02,10,3,1,79.99,79.99,2024,3,March,Saturday
41,2024-05-04,2,18,2,44.99,89.98,2024,5,May,Saturday
42,2024-02-02,8,18,2,44.99,89.98,2024,2,February,Friday
43,2024-03-08,9,20,4,299.99,1199.96,2024,3,March,Friday
44,2024-02-24,9,7,3,109.99,329.97,2024,2,February,Saturday
45,2024-04-12,6,15,5,49.99,249.95,2024,4,April,Friday
46,2024-04-25,2,8,2,89.99,179.98,2024,4,April,Thursday
47,2024-01-17,6,1,5,899.99,4499.95,2024,1,January,Wednesday
48,2024-05-21,4,19,2,39.99,79.98,2024,5,May,Tuesday
49,2024-01-02,2,2,2,29.99,59.98,2024,1,January,Tuesday
50,2024-01-18,1,11,1,19.99,19.99,2024,1,January,Thursday
51,2024-05-11,4,9,4,599.99,2399.96,2024,5,May,Saturday
52,2024-02-24,9,5,5,149.99,749.95,2024,2,February,Saturday
53,2024-05-27,8,8,4,89.99,359.96,2024,5,May,Monday
54,2024-04-14,4,4,1,349.99,349.99,2024,4,April,Sunday
55,2024-06-17,7,12,4,12.99,51.96,2024,6,June,Monday
56,2024-04-15,8,2,1,29.99,29.99,2024,4,April,Monday
57,2024-01-16,7,11,1,19.99,19.99,2024,1,January,Tuesday
58,2024-03-04,4,7,5,109.99,549.95,2024,3,March,Monday
59,2024-04-24,3,14,2,79.99,159.98,2024,4,April,Wednesday
60,2024-03-12,8,8,1,89.99,89.99,2024,3,March,Tuesday
61,2024-04-23,9,4,1,349.99,349.99,2024,4,April,Tuesday
62,2024-06-15,9,1,1,899.99,899.99,2024,6,June,Saturday
63,2024-03-01,3,14,4,79.99,319.96,2024,3,March,Friday
64,2024-05-03,4,13,1,249.99,249.99,2024,5,May,Friday
65,2024-02-12,7,1,4,899.99,3599.96,2024,2,February,Monday
66,2024-03-08,8,10,4,699.99,2799.96,2024,3,March,Friday
67,2024-06-27,9,16,2,24.99,49.98,2024,6,June,Thursday
68,2024-02-18,5,7,1,109.99,109.99,2024,2,February,Sunday
69,2024-05-28,9,2,3,29.99,89.97,2024,5,May,Tuesday
70,2024-01-15,1,19,4,39.99,159.96,2024,1,January,Monday
71,2024-05-08,9,6,1,59.99,59.99,2024,5,May,Wednesday
72,2024-05-10,2,6,1,59.99,59.99,2024,5,May,Friday
73,2024-06-01,2,8,4,89.99,359.96,2024,6,June,Saturday
74,2024-01-31,10,8,5,89.99,449.95,2024,1,January,Wednesday
75,2024-06-01,1,20,1,299.99,299.99,2024,6,June,Saturday
76,2024-04-17,10,19,5,39.99,199.95,2024,4,April,Wednesday
77,2024-03-21,5,7,3,109.99,329.97,2024,3,March,Thursday
78,2024-03-02,5,13,2,249.99,499.98,2024,3,March,Saturday
79,2024-06-20,5,15,3,49.99,149.97,2024,6,June,Thursday
80,2024-01-19,1,15,5,49.99,249.95,2024,1,January,Friday
81,2024-05-24,2,3,5,79.99,399.95,2024,5,May,Friday
82,2024-02-24,9,9,2,599.99,1199.98,2024,2,February,Saturday
83,2024-03-30,2,8,3,89.99,269.97,2024,3,March,Saturday
84,2024-03-13,3,15,5,49.99,249.95,2024,3,March,Wednesday
85,2024-06-29,5,20,5,299.99,1499.95,2024,6,June,Saturday
86,2024-01-03,9,10,1,699.99,699.99,2024,1,January,Wednesday
87,2024-02-04,5,4,1,349.99,349.99,2024,2,February,Sunday
88,2024-05-21,3,9,3,599.99,1799.97,2024,5,May,Tuesday
89,2024-06-03,4,11,2,19.99,39.98,2024,6,June,Monday
90,2024-06-24,5,17,4,34.99,139.96,2024,6,June,Monday
91,2024-03-05,1,3,4,79.99,319.96,2024,3,March,Tuesday
92,2024-03-11,1,1,3,899.99,2699.97,2024,3,March,Monday
93,2024-02-03,5,6,4,59.99,239.96,2024,2,February,Saturday
94,2024-05-21,7,18,1,44.99,44.99,2024,5,May,Tuesday
95,2024-01-29,2,5,5,149.99,749.95,2024,1,January,Monday
96,2024-01-10,6,19,5,39.99,199.95,2024,1,January,Wednesday
97,2024-02-07,7,5,1,149.99,149.99,2024,2,February,Wednesday
98,2024-03-19,6,2,3,29.99,89.97,2024,3,March,Tuesday
99,2024-02-23,4,4,3,349.99,1049.97,2024,2,February,Friday
100,2024-05-23,7,20,2,299.99,599.98,2024,5,May,Thursday
